Istwert Kraft F_X / N,Istwert Kraft F_Y / N,Istwert Kraft in Stoßrichtung F_Z / N,Istwert Moment M_A / Nm,Istwert Moment M_B  / Nm,Istwert Moment M_C / Nm,Istposition TCP X / mm,Istposition TCP Y / mm,Istposition TCP Z / mm,Istorientierung TCP A / °,Istorientierung TCP B / °,Istorientierung TCP C / °,Sollwert Vorschubgeschw. Soll_v_f / mm/min,Istwert Vorschubgeschwindigkeit v_f / mm/min,Sollwert Drehzahl Soll_n_sp / U/min,Istwert Spindeldrehzahl n_sp / U/min,Istwert Spindeldrehmoment M_sp / Nm,Istwert Spindelstrom I_sp / A,Sollwert Kraft in Stoßrichtung Soll_F_Z / N,Istwert Strom Achse 1 I_a1 / A,Istwert Strom Achse2 I_a2 / A,Istwert Strom Achse3 I_a3 / A,Istwert Strom Achse4 I_a4 / A,Istwert Strom Achse5 I_a5 / A,Istwert Strom Achse6 I_a6 / A,Istwert Moment Achse1 M_a1 / Nm,Istwert Moment Achse2 M_a2 / Nm,Istwert Moment Achse3 M_a3 / Nm,Istwert Moment Achse4 M_a4 / Nm,Istwert Moment Achse5 M_a5 / Nm,Istwert Moment Achse6 M_a6 / Nm
95.0,86.0,801.0,-1.525,61.568,3.788,616.029,2298.624,-137.436,-90.0,0.0,0.0,1500,0.0,0,2517.967,-26682.42,3.722,0,-0.936,4.62,-1.289,-1.936,-2.252,-3.175,531.534,2612.37,-609.21,240.398,-309.083,-245.162
-117.0,70.0,479.0,-26.812,-40.558,-4.518,616.047,2298.617,-137.518,-90.0,0.0,0.0,1500,0.0,0,2516.575,-29073.57,4.056,0,-0.893,3.722,-1.226,-1.275,-1.755,-3.216,506.835,2105.064,-579.074,158.292,-240.943,-248.366
58.0,2.0,1102.0,18.707,39.994,3.83,616.075,2298.623,-137.597,-90.0,0.0,0.0,1500,0.0,0,2517.261,-30702.11,4.283,0,-0.944,3.747,-0.694,-1.567,-1.233,-3.133,535.932,2119.053,-327.7,194.521,-169.204,-241.959
-41.0,-38.0,806.0,-18.832,-17.265,-2.153,616.073,2298.615,-137.683,-90.0,0.0,0.0,1500,0.0,0,2519.913,-29395.63,4.101,0,-0.904,4.77,-1.075,-1.348,-1.943,-3.193,513.263,2697.314,-507.816,167.349,-266.667,-246.561
71.0,-54.0,1664.0,27.156,-3.372,4.28,616.065,2298.612,-137.762,-90.0,0.0,0.0,1500,0.0,0,2519.321,-30732.49,4.287,0,-0.944,1.898,-0.566,-1.476,-2.4,-3.162,535.594,1073.263,-267.427,183.273,-329.505,-244.168
-17.0,-28.0,1056.0,8.231,-31.732,-3.416,616.057,2298.607,-137.821,-90.0,0.0,0.0,1500,0.0,0,2519.455,-33132.75,4.622,0,-0.958,8.308,-1.085,-1.363,-2.591,-3.145,544.052,4698.052,-512.886,169.184,-355.622,-242.879
108.0,31.0,1462.0,-8.736,3.242,0.036,616.063,2298.605,-137.898,-90.0,0.0,0.0,1500,0.0,0,2518.844,-34026.02,4.747,0,-0.92,2.174,-0.448,-1.327,-2.116,-3.146,522.229,1229.162,-211.52,164.745,-290.493,-242.916
114.0,24.0,1694.0,-0.523,22.201,0.29,616.072,2298.606,-137.963,-90.0,0.0,0.0,1500,0.0,0,2518.292,-37146.36,5.182,0,-0.985,7.519,-0.364,-1.227,-1.96,-3.129,559.278,4252.095,-171.948,152.373,-269.024,-241.59
-26.0,-4.0,1628.0,-10.017,-23.557,-1.524,616.08,2298.604,-138.026,-90.0,-0.01,0.0,1500,0.0,0,2519.169,-36757.45,5.128,0,-0.97,4.988,0.355,-1.094,-2.042,-3.133,550.819,2821.022,167.582,135.797,-280.348,-241.959
61.0,1.0,1908.0,5.26,-18.452,2.686,616.087,2298.603,-138.083,-90.0,0.0,0.0,1500,0.0,0,2520.065,-35861.15,5.003,0,-0.863,5.878,0.306,-1.147,-1.953,-3.119,490.087,3324.114,144.628,142.368,-268.107,-240.854
75.0,10.0,1902.0,23.299,9.533,-1.536,616.089,2298.602,-138.141,-90.0,-0.01,0.0,1500,0.0,0,2520.809,-37246.62,5.196,0,-0.9,6.611,0.359,-1.069,-1.936,-3.138,510.726,3738.722,169.694,132.719,-265.817,-242.29
16.0,97.0,1831.0,-36.27,14.656,-1.608,616.097,2298.604,-138.192,-90.0,0.0,0.0,1500,0.0,0,2519.436,-38972.38,5.437,0,-0.933,7.234,0.374,-1.054,-1.617,-3.113,529.673,4090.802,176.877,130.884,-221.961,-240.375
69.0,-89.0,2395.0,42.68,-10.699,0.359,616.11,2298.608,-138.25,-90.0,0.0,0.0,1500,0.0,0,2519.798,-38957.19,5.435,0,-0.955,6.556,0.748,-1.083,-1.184,-3.11,542.191,3707.374,353.471,134.495,-162.462,-240.154
-102.0,74.0,2057.0,-39.554,-20.562,0.311,616.102,2298.606,-138.303,-90.0,0.0,0.0,1500,0.0,0,2520.351,-39953.75,5.574,0,-0.975,7.133,0.83,-1.042,-2.137,-3.106,553.188,4033.667,392.198,129.404,-293.373,-239.823
35.0,-70.0,2425.0,43.219,-17.82,-1.055,616.105,2298.608,-138.343,-90.0,0.0,0.0,1500,0.0,0,2520.084,-38899.46,5.427,0,-0.94,6.339,0.777,-1.118,-1.432,-3.092,533.564,3585.014,367.132,138.816,-196.63,-238.755
-7.0,24.0,2313.0,-39.679,10.177,-1.229,616.106,2298.608,-138.388,-90.0,0.0,0.0,1500,0.0,0,2521.706,-38361.68,5.352,0,-1.02,9.76,0.399,-0.931,-1.765,-3.08,578.732,5519.347,188.565,115.611,-242.252,-237.798
87.0,-92.0,2606.0,48.788,7.687,-2.275,616.097,2298.604,-138.443,-90.0,0.0,0.0,1500,0.0,0,2522.144,-35396.29,4.938,0,-0.936,4.668,1.211,-1.034,-1.937,-3.104,531.195,2639.842,572.173,128.339,-265.882,-239.676
-31.0,61.0,2423.0,-47.986,-7.282,0.534,616.094,2298.602,-138.47,-90.0,0.0,0.0,1500,0.0,0,2522.449,-34977.0,4.88,0,-1.048,10.798,0.572,-0.889,-2.184,-3.081,594.973,6106.204,270.244,110.402,-299.788,-237.908
34.0,-119.0,2833.0,53.06,-3.025,-2.257,616.092,2298.601,-138.519,-90.0,-0.01,0.0,1500,0.0,0,2522.545,-32576.74,4.545,0,-0.948,5.88,1.356,-0.96,-1.83,-3.088,537.962,3324.957,640.896,119.222,-251.154,-238.424
-20.0,83.0,2550.0,-56.312,-3.187,1.224,616.091,2298.601,-138.545,-90.0,-0.01,0.0,1500,0.0,0,2522.03,-31762.47,4.431,0,-1.009,10.541,0.947,-0.836,-2.272,-3.059,572.473,5961.091,447.543,103.772,-311.832,-236.214
63.0,-109.0,2930.0,50.294,6.661,-2.849,616.091,2298.601,-138.589,-90.0,-0.01,0.0,1500,0.0,0,2521.172,-32379.25,4.517,0,-0.948,5.6,1.598,-0.9,-1.822,-3.086,537.962,3167.035,754.964,111.764,-250.042,-238.276
-4.0,81.0,2648.0,-53.268,-6.736,1.497,616.09,2298.6,-138.614,-90.0,-0.01,0.0,1500,0.0,0,2520.637,-32285.06,4.504,0,-1.021,10.614,1.22,-0.79,-2.306,-3.063,579.747,6002.383,576.539,98.03,-316.479,-236.546
41.0,-120.0,3029.0,59.271,-2.842,-2.454,616.089,2298.6,-138.655,-90.0,-0.01,0.0,1500,0.0,0,2519.569,-33591.54,4.686,0,-0.954,5.557,2.059,-0.848,-2.002,-3.086,541.684,3142.596,972.962,105.252,-274.849,-238.276
-50.0,71.0,2746.0,-52.307,-16.778,1.005,616.087,2298.6,-138.676,-90.0,-0.01,0.0,1500,0.0,0,2519.798,-34636.71,4.832,0,-1.019,10.858,1.557,-0.754,-2.412,-3.061,578.394,6140.417,735.671,93.59,-331.142,-236.398
64.0,-119.0,3157.0,53.734,9.917,-2.138,616.087,2298.6,-138.713,-90.0,-0.01,0.0,1500,0.0,0,2519.054,-34524.3,4.816,0,-0.933,5.861,2.328,-0.822,-2.01,-3.065,529.842,3314.507,1099.986,101.996,-275.897,-236.693
-42.0,74.0,2836.0,-57.183,-15.199,0.558,616.086,2298.6,-138.733,-90.0,-0.01,0.0,1500,0.0,0,2519.913,-36742.26,5.126,0,-0.996,10.848,1.777,-0.711,-2.445,-3.043,565.199,6134.687,839.6,88.322,-335.593,-234.999
88.0,-107.0,3241.0,54.123,19.618,-2.244,616.087,2298.601,-138.767,-90.0,-0.01,0.0,1500,0.0,0,2519.607,-35402.37,4.939,0,-0.955,6.036,2.417,-0.772,-1.981,-3.049,542.022,3413.272,1141.952,95.84,-271.904,-235.404
-64.0,61.0,2893.0,-48.59,-26.971,0.038,616.086,2298.601,-138.785,-90.0,-0.01,0.0,1500,0.0,0,2520.199,-37112.94,5.178,0,-0.994,11.366,1.765,-0.703,-2.367,-3.035,564.014,6427.609,833.826,87.256,-324.858,-234.373
96.0,-108.0,3330.0,57.123,23.791,-1.637,616.087,2298.601,-138.82,-90.0,-0.01,0.0,1500,0.0,0,2520.256,-35618.09,4.969,0,-0.923,5.921,2.494,-0.753,-1.918,-3.046,523.752,3348.552,1178.567,93.531,-263.264,-235.183
-76.0,69.0,2959.0,-52.425,-30.135,-0.941,616.085,2298.601,-138.836,-90.0,-0.01,0.0,1500,0.0,0,2520.695,-35487.44,4.951,0,-0.978,10.415,1.9,-0.691,-2.337,-3.034,555.387,5889.967,897.902,85.776,-320.8,-234.263
114.0,-106.0,3431.0,54.385,28.825,-0.938,616.089,2298.603,-138.864,-90.0,-0.01,0.0,1500,0.0,0,2520.561,-35830.77,4.999,0,-0.905,6.323,2.653,-0.717,-1.841,-3.022,513.602,3575.913,1253.767,88.973,-252.66,-233.379
-96.0,73.0,2980.0,-51.08,-39.625,-0.951,616.089,2298.603,-138.879,-90.0,-0.01,0.0,1500,0.0,0,2520.695,-35147.15,4.903,0,-0.952,10.494,2.267,-0.659,-2.324,-3.019,540.5,5934.293,1071.117,81.81,-318.967,-233.158
117.0,-102.0,3484.0,53.478,32.166,-0.378,616.093,2298.605,-138.903,-90.0,0.0,0.0,1500,0.0,0,2520.504,-35186.65,4.909,0,-0.892,6.865,2.825,-0.714,-1.726,-3.022,506.327,3882.487,1334.883,88.677,-236.885,-233.342
-114.0,69.0,3014.0,-49.435,-45.167,-1.481,616.092,2298.605,-138.918,-90.0,0.0,0.0,1500,0.0,0,2520.561,-35347.68,4.931,0,-0.954,10.792,2.349,-0.623,-2.199,-3.01,541.684,6103.001,1109.985,77.311,-301.817,-232.458
138.0,-104.0,3565.0,50.759,43.121,-0.613,616.096,2298.607,-138.942,-90.0,0.0,0.0,1500,0.0,0,2520.18,-34369.34,4.795,0,-0.858,6.818,2.895,-0.676,-1.659,-3.007,487.042,3855.858,1367.977,83.882,-227.787,-232.201
-113.0,63.0,3065.0,-48.695,-42.185,-1.311,616.093,2298.606,-138.956,-90.0,0.0,0.0,1500,0.0,0,2520.332,-36006.99,5.023,0,-0.933,11.472,2.323,-0.585,-2.17,-3.012,529.842,6487.272,1097.592,72.634,-297.824,-232.569
137.0,-107.0,3597.0,54.992,39.601,-0.347,616.095,2298.608,-138.981,-90.0,0.0,0.0,1500,0.0,0,2520.104,-34436.19,4.804,0,-0.866,6.727,2.835,-0.629,-1.621,-2.996,491.609,3804.453,1339.671,78.14,-222.485,-231.354
-134.0,68.0,3073.0,-49.151,-52.646,-1.546,616.092,2298.607,-138.994,-90.0,0.0,0.0,1500,0.0,0,2519.836,-36556.93,5.1,0,-0.909,11.61,2.187,-0.559,-2.089,-2.999,516.139,6565.812,1033.517,69.438,-286.762,-231.575
155.0,-114.0,3675.0,57.446,45.58,-0.252,616.095,2298.609,-139.017,-90.0,0.0,0.0,1500,0.0,0,2519.569,-36219.68,5.053,0,-0.863,6.949,2.765,-0.612,-1.517,-2.984,490.087,3929.51,1306.295,75.949,-208.281,-230.396
-146.0,80.0,3080.0,-55.803,-60.761,-1.697,616.092,2298.609,-139.029,-90.0,0.0,0.0,1500,0.0,0,2519.512,-37167.63,5.185,0,-0.906,11.473,2.249,-0.544,-2.052,-3.005,514.109,6488.115,1062.668,67.544,-281.657,-232.053
170.0,-120.0,3741.0,60.357,53.767,0.113,616.096,2298.611,-139.049,-90.0,0.0,0.0,1500,0.0,0,2519.417,-37960.63,5.296,0,-0.817,6.818,2.858,-0.608,-1.432,-2.997,463.527,3855.521,1350.233,75.417,-196.499,-231.391
-168.0,82.0,3082.0,-56.537,-68.253,-2.211,616.093,2298.61,-139.061,-90.0,0.0,0.0,1500,0.0,0,2520.104,-37392.46,5.217,0,-0.879,11.721,2.331,-0.5,-2.008,-3.0,498.715,6628.172,1101.535,62.038,-275.635,-231.648
182.0,-125.0,3791.0,63.355,61.994,0.535,616.097,2298.612,-139.08,-90.0,0.0,0.0,1500,0.0,0,2520.142,-37589.95,5.244,0,-0.847,6.879,2.966,-0.576,-1.361,-2.978,480.613,3890.071,1401.634,71.451,-186.877,-229.991
-179.0,82.0,3094.0,-56.937,-70.729,-2.587,616.094,2298.611,-139.092,-90.0,0.0,0.0,1500,0.0,0,2520.561,-37009.63,5.163,0,-0.883,11.745,2.401,-0.492,-1.954,-2.978,501.083,6641.992,1134.488,61.091,-268.238,-229.991
197.0,-124.0,3833.0,66.179,69.421,1.074,616.098,2298.614,-139.109,-90.0,0.0,0.0,1500,0.0,0,2520.447,-36237.9,5.055,0,-0.794,6.795,3.094,-0.569,-1.335,-2.971,450.839,3842.543,1461.766,70.622,-183.277,-229.439
-192.0,92.0,3080.0,-60.13,-79.978,-2.699,616.094,2298.613,-139.122,-90.0,0.0,0.0,1500,0.0,0,2520.504,-37286.12,5.202,0,-0.869,12.259,2.474,-0.464,-1.939,-2.981,493.47,6932.387,1168.991,57.598,-266.144,-230.175
219.0,-132.0,3890.0,78.395,89.704,1.716,616.099,2298.615,-139.138,-90.0,0.0,0.0,1500,0.0,0,2520.275,-35858.12,5.002,0,-0.811,6.973,3.135,-0.554,-1.234,-2.95,460.313,3943.33,1481.341,68.727,-169.4,-227.782
-259.0,97.0,3056.0,-72.993,-101.268,-4.046,616.094,2298.614,-139.151,-90.0,0.0,0.0,1500,0.0,0,2520.046,-37696.29,5.259,0,-0.861,12.382,2.489,-0.428,-1.844,-2.965,488.903,7001.994,1175.891,53.159,-253.184,-228.96
238.0,-142.0,3975.0,92.622,95.751,2.883,616.1,2298.618,-139.167,-90.0,0.0,0.0,1500,0.0,0,2519.379,-37924.16,5.291,0,-0.822,6.217,3.131,-0.584,-1.111,-2.942,466.572,3515.744,1479.51,72.516,-152.447,-227.193
-247.0,119.0,3017.0,-89.392,-98.534,-3.239,616.093,2298.615,-139.181,-90.0,0.0,0.0,1500,0.0,0,2519.15,-39330.9,5.487,0,-0.871,12.074,2.421,-0.425,-1.828,-2.968,494.147,6828.06,1143.924,52.804,-250.958,-229.218
260.0,-149.0,4041.0,90.671,111.823,1.071,616.102,2298.62,-139.194,-90.0,0.0,0.0,1500,0.0,0,2518.387,-41655.21,5.811,0,-0.806,6.282,3.077,-0.564,-0.905,-2.924,457.437,3552.317,1454.162,69.971,-124.17,-225.757
-289.0,127.0,2929.0,-89.376,-121.913,-3.23,616.097,2298.618,-139.189,-90.0,0.0,0.0,1500,0.0,0,2518.978,-40913.86,5.708,0,-0.848,10.591,2.025,-0.412,-1.692,-2.957,481.459,5989.574,957.049,51.205,-232.303,-228.371
260.0,-165.0,4054.0,98.207,110.763,2.705,616.11,2298.624,-139.202,-90.0,0.0,0.0,1500,0.0,0,2519.76,-41448.6,5.782,0,-0.803,9.1,2.486,-0.582,-0.456,-2.891,456.084,5146.2,1174.624,72.279,-62.641,-223.253
-288.0,98.0,2883.0,-86.894,-111.275,-5.329,616.109,2298.623,-139.203,-90.0,0.0,0.0,1500,0.0,0,2520.428,-40415.58,5.638,0,-0.846,9.576,2.478,-0.402,-1.15,-2.946,480.444,5415.189,1170.681,49.844,-157.88,-227.487
274.0,-155.0,4004.0,94.656,116.814,2.315,616.114,2298.627,-139.205,-90.0,0.0,0.0,1500,0.0,0,2520.58,-39604.35,5.525,0,-0.831,9.476,2.467,-0.608,-0.528,-2.891,471.647,5358.897,1165.892,75.535,-72.46,-223.216
-290.0,102.0,2841.0,-82.137,-126.147,-3.249,616.112,2298.625,-139.205,-90.0,0.0,0.0,1500,0.0,0,2520.943,-39343.05,5.489,0,-0.865,9.573,2.358,-0.364,-0.951,-2.93,490.764,5413.841,1114.21,45.226,-130.585,-226.235
300.0,-113.0,3929.0,83.987,125.997,4.242,616.117,2298.629,-139.207,-90.0,0.0,0.0,1500,0.0,0,2521.286,-38209.77,5.331,0,-0.87,9.401,2.43,-0.604,-0.364,-2.873,493.64,5316.594,1148.289,74.943,-50.008,-221.854
-210.0,175.0,2885.0,-116.22,-66.172,-2.242,616.115,2298.627,-139.207,-90.0,0.0,0.0,1500,0.0,0,2520.714,-38264.46,5.338,0,-0.875,9.524,2.38,-0.336,-0.75,-2.928,496.515,5385.864,1124.49,41.675,-102.897,-226.088
-inf,-inf,-inf,-inf,-inf,-inf,616.119,2298.63,-139.208,-90.0,0.0,0.0,1500,0.0,0,2520.599,-37732.75,5.264,0,-0.867,9.295,2.411,-0.619,-0.306,-2.855,492.286,5256.593,1139.136,76.837,-42.023,-220.454
-inf,-inf,-inf,-inf,-inf,-inf,616.114,2298.627,-139.209,-90.0,0.0,0.0,1500,0.0,0,2520.485,-36854.68,5.142,0,-0.878,9.42,2.351,-0.36,-0.738,-2.919,498.376,5327.212,1110.689,44.694,-101.326,-225.425
-inf,-inf,-inf,-inf,-inf,-inf,616.118,2298.631,-139.21,-90.0,0.0,0.0,1500,0.0,0,2519.989,-38419.41,5.36,0,-0.905,9.283,2.349,-0.575,-0.206,-2.839,513.771,5249.852,1109.844,71.391,-28.342,-219.239
-inf,-inf,-inf,-inf,-inf,-inf,616.113,2298.628,-139.21,-90.0,0.0,0.0,1500,0.0,0,2519.817,-37401.57,5.218,0,-0.909,9.342,2.254,-0.357,-0.671,-2.902,515.801,5283.054,1064.921,44.279,-92.096,-224.1
-inf,-inf,-inf,-inf,-inf,-inf,616.115,2298.633,-139.211,-90.0,0.0,0.0,1500,0.0,0,2519.703,-38774.89,5.409,0,-0.9,9.191,2.324,-0.679,-0.151,-2.806,510.895,5197.604,1098.156,84.237,-20.684,-216.662
-inf,-inf,-inf,-inf,-inf,-inf,616.11,2298.629,-139.211,-90.0,0.0,0.0,1500,0.0,0,2520.027,-37425.88,5.221,0,-0.912,9.25,2.199,-0.331,-0.642,-2.877,517.493,5231.144,1039.291,41.142,-88.104,-222.185
-inf,-inf,-inf,-inf,-inf,-inf,616.114,2298.634,-139.212,-90.0,0.0,0.0,1500,0.0,0,2520.199,-36933.68,5.153,0,-0.913,9.068,2.259,-0.636,-0.049,-2.784,518.508,5128.166,1067.315,78.969,-6.677,-214.968
-inf,-inf,-inf,-inf,-inf,-inf,616.108,2298.63,-139.212,-90.0,0.0,0.0,1500,0.0,0,2520.294,-37459.3,5.226,0,-0.939,9.136,2.146,-0.373,-0.637,-2.858,532.718,5166.425,1014.224,46.351,-87.449,-220.712
-inf,-inf,-inf,-inf,-inf,-inf,616.111,2298.633,-139.213,-90.0,0.0,0.0,1500,0.0,0,2520.104,-36541.73,5.098,0,-0.931,9.019,2.151,-0.574,-0.092,-2.783,528.319,5100.188,1016.195,71.273,-12.568,-214.931
-inf,-inf,-inf,-inf,-inf,-inf,616.106,2298.629,-139.213,-90.0,0.0,0.0,1500,0.0,0,2520.18,-36775.68,5.131,0,-0.941,9.02,2.165,-0.361,-0.545,-2.867,534.41,5100.863,1022.955,44.871,-74.751,-221.375
-inf,-inf,-inf,-inf,-inf,-inf,616.108,2298.633,-139.214,-90.0,0.0,0.0,1500,0.0,0,2520.199,-36450.59,5.085,0,-0.962,8.878,2.119,-0.549,-0.07,-2.772,546.082,5020.469,1001.409,68.195,-9.622,-214.047
-inf,-inf,-inf,-inf,-inf,-inf,616.104,2298.628,-139.214,-90.0,0.0,0.0,1500,0.0,0,2520.065,-35581.63,4.964,0,-0.958,8.871,2.128,-0.305,-0.457,-2.842,543.883,5016.761,1005.492,37.886,-62.772,-219.423
199.0,-25.0,3472.0,45.645,96.828,3.418,616.106,2298.634,-139.215,-90.0,0.0,0.0,1500,0.0,0,2519.989,-36799.99,5.134,0,-0.978,8.868,2.1,-0.64,-0.032,-2.749,554.879,5014.739,992.114,79.501,-4.451,-212.28
-228.0,25.0,2683.0,-37.036,-109.664,-5.171,616.101,2298.629,-141.215,-90.0,0.0,0.0,1500,0.0,0,2520.18,-35147.15,4.903,0,-0.965,8.799,2.064,-0.36,-0.446,-2.825,547.774,4976.143,975.497,44.694,-61.201,-218.135
206.0,-8.0,3381.0,33.244,106.253,3.999,616.103,2298.634,-141.216,-90.0,0.0,0.0,1500,0.001,0,2520.046,-36806.07,5.135,0,-1.006,8.744,2.093,-0.645,-0.045,-2.735,570.95,4944.626,989.016,80.093,-6.218,-211.212
-203.0,17.0,2643.0,-29.781,-96.829,-6.436,616.097,2298.629,-141.216,-90.0,0.0,0.0,1500,0.008,0,2519.932,-35885.46,5.006,0,-0.98,9.171,1.972,-0.304,-0.41,-2.823,556.063,5186.312,931.841,37.768,-56.292,-218.024
207.0,-12.0,3543.0,32.51,102.021,5.303,616.079,2298.627,-141.299,-90.0,0.0,0.0,1500,0.028,0,2519.741,-35985.72,5.02,0,-1.058,17.135,3.53,-0.649,-0.256,-2.721,600.724,9690.206,1667.935,80.626,-35.084,-210.144
-193.0,-25.0,3120.0,-31.049,-96.634,-7.27,616.033,2298.607,-141.408,-90.0,-0.01,-0.01,1500,0.065,0,2520.065,-36593.39,5.105,0,-0.958,-0.843,4.717,-0.252,-1.87,-2.802,544.052,-476.463,2228.842,31.315,-256.653,-216.33
223.0,3.0,3839.0,0.626,108.4,6.568,616.04,2298.615,-141.384,-90.0,0.0,0.0,1500,0.128,0,2519.436,-36927.6,5.152,0,-1.06,13.684,2.99,-0.711,-1.622,-2.707,601.739,7738.345,1412.9,88.322,-222.681,-209.04
-166.0,-14.0,3198.0,-15.147,-91.012,-7.32,616.024,2298.604,-141.48,-90.0,0.0,0.0,1500,0.22,0,2519.55,-37258.78,5.198,0,-0.992,8.821,3.125,-0.187,-2.208,-2.783,563.169,4988.446,1476.412,23.264,-303.061,-214.931
208.0,6.0,3789.0,19.242,108.165,5.124,616.043,2298.615,-141.541,-90.0,0.0,0.0,1500,0.35,0,2519.455,-38577.4,5.382,0,-1.053,13.257,2.688,-0.637,-0.994,-2.692,597.849,7496.996,1270.103,79.028,-136.476,-207.898
-123.0,-50.0,3600.0,-16.166,-82.302,-6.849,616.027,2298.604,-141.65,-90.0,0.0,0.0,1500,0.523,0,2519.665,-37286.12,5.202,0,-0.967,9.396,3.553,-0.16,-2.004,-2.776,549.127,5313.56,1679.06,19.831,-275.111,-214.379
179.0,-16.0,4329.0,-14.123,81.242,5.988,616.036,2298.611,-141.71,-90.0,0.0,0.0,1500,0.744,0,2519.245,-40938.17,5.711,0,-0.963,13.276,2.828,-0.578,-1.614,-2.731,546.421,7507.613,1336.291,71.747,-221.568,-210.917
-68.0,-116.0,4053.0,3.275,-69.428,-8.454,616.02,2298.603,-141.806,-90.0,-0.01,0.0,1500,1.021,0,2520.046,-46112.41,6.433,0,-0.724,8.802,3.857,-0.342,-2.531,-2.831,410.746,4977.66,1822.42,42.444,-347.44,-218.576
143.0,39.0,4256.0,-20.451,74.763,1.649,616.03,2298.61,-141.853,-90.0,0.0,0.0,1500,1.358,0,2521.267,-68705.27,9.585,0,-0.577,14.174,3.561,-0.59,-2.277,-2.82,327.345,8015.593,1682.862,73.226,-312.618,-217.73
